1,2000MHz,300,100,2000812
1,2000MHz,300,150,2997571
1,2000MHz,300,200,3992885
1,2000MHz,300,250,4993606
1,2000MHz,300,300,5992046
1,2000MHz,300,350,6993426
1,2000MHz,300,400,7987885
1,2000MHz,300,450,8981404
1,2000MHz,300,500,9986632
1,2000MHz,300,550,10985857
1,2000MHz,300,600,11983408
1,2000MHz,300,650,12979041
1,2000MHz,300,700,13975426
1,2000MHz,300,750,14977805
1,2000MHz,300,800,15973057
1,2000MHz,300,850,16976941
1,2000MHz,300,900,17975819
1,2000MHz,300,950,18904650
1,2000MHz,300,1000,19974495
