0.1,1200MHz,200,200,21795649
0.1,1200MHz,300,300,100298098
0.2,1200MHz,200,200,10837979
0.2,1200MHz,300,300,50078578
0.3,1200MHz,200,200,7152801
0.3,1200MHz,300,300,33278906
0.4,1200MHz,200,200,5377465
0.4,1200MHz,300,300,24900040
0.5,1200MHz,200,200,4311317
0.5,1200MHz,300,300,19907150
0.6,1200MHz,200,200,3561450
0.6,1200MHz,300,300,16606882
0.7,1200MHz,200,200,2957509
0.7,1200MHz,300,300,14211003
0.8,1200MHz,200,200,2631484
0.8,1200MHz,300,300,12441645
0.9,1200MHz,200,200,1448433
0.9,1200MHz,300,300,11057558
1.0,1200MHz,200,200,2120432
1.0,1200MHz,300,300,10001920
0.1,1300MHz,200,200,20102046
0.1,1300MHz,300,300,92695177
0.2,1300MHz,200,200,9956795
0.2,1300MHz,300,300,46104345
0.3,1300MHz,200,200,6651019
0.3,1300MHz,300,300,30694851
0.4,1300MHz,200,200,4960041
0.4,1300MHz,300,300,22996583
0.5,1300MHz,200,200,3958775
0.5,1300MHz,300,300,18404071
0.6,1300MHz,200,200,3269766
0.6,1300MHz,300,300,15295332
0.7,1300MHz,200,200,2810400
0.7,1300MHz,300,300,13119052
0.8,1300MHz,200,200,2466126
0.8,1300MHz,300,300,11328442
0.9,1300MHz,200,200,2211827
0.9,1300MHz,300,300,10200056
1.0,1300MHz,200,200,1990461
1.0,1300MHz,300,300,9435561
0.1,1400MHz,200,200,18692323
0.1,1400MHz,300,300,85989633
0.2,1400MHz,200,200,9267992
0.2,1400MHz,300,300,42795530
0.3,1400MHz,200,200,6141762
0.3,1400MHz,300,300,28493732
0.4,1400MHz,200,200,4573122
0.4,1400MHz,300,300,21307091
0.5,1400MHz,200,200,3651436
0.5,1400MHz,300,300,16795486
0.6,1400MHz,200,200,3048687
0.6,1400MHz,300,300,14189887
0.7,1400MHz,200,200,2596159
0.7,1400MHz,300,300,12159242
0.8,1400MHz,200,200,2290038
0.8,1400MHz,300,300,10635604
0.9,1400MHz,200,200,2038763
0.9,1400MHz,300,300,9475463
1.0,1400MHz,200,200,1725727
1.0,1400MHz,300,300,8572279
0.1,1500MHz,200,200,17404150
0.1,1500MHz,300,300,80297397
0.2,1500MHz,200,200,8637008
0.2,1500MHz,300,300,39900895
0.3,1500MHz,200,200,5718304
0.3,1500MHz,300,300,26593502
0.4,1500MHz,200,200,4240794
0.4,1500MHz,300,300,19878298
0.5,1500MHz,200,200,3127748
0.5,1500MHz,300,300,15917721
0.6,1500MHz,200,200,2798255
0.6,1500MHz,300,300,13241603
0.7,1500MHz,200,200,2417157
0.7,1500MHz,300,300,11350201
0.8,1500MHz,200,200,2145850
0.8,1500MHz,300,300,9940360
0.9,1500MHz,200,200,1909620
0.9,1500MHz,300,300,8838155
1.0,1500MHz,200,200,1729709
1.0,1500MHz,300,300,7999788
0.1,1600MHz,200,200,16303380
0.1,1600MHz,300,300,75093469
0.2,1600MHz,200,200,8038179
0.2,1600MHz,300,300,37412929
0.3,1600MHz,200,200,5341654
0.3,1600MHz,300,300,24993042
0.4,1600MHz,200,200,3953064
0.4,1600MHz,300,300,18657533
0.5,1600MHz,200,200,3168948
0.5,1600MHz,300,300,14907511
0.6,1600MHz,200,200,2656741
0.6,1600MHz,300,300,12420210
0.7,1600MHz,200,200,2274887
0.7,1600MHz,300,300,10603379
0.8,1600MHz,200,200,2015572
0.8,1600MHz,300,300,9320570
0.9,1600MHz,200,200,1785738
0.9,1600MHz,300,300,8278223
1.0,1600MHz,200,200,1620371
1.0,1600MHz,300,300,7496260
0.1,1700MHz,200,200,15301558
0.1,1700MHz,300,300,70700360
0.2,1700MHz,200,200,7651763
0.2,1700MHz,300,300,35200634
0.3,1700MHz,200,200,5057643
0.3,1700MHz,300,300,23409615
0.4,1700MHz,200,200,3780441
0.4,1700MHz,300,300,17585483
0.5,1700MHz,200,200,3005449
0.5,1700MHz,300,300,13993830
0.6,1700MHz,200,200,2478291
0.6,1700MHz,300,300,11663572
0.7,1700MHz,200,200,2150824
0.7,1700MHz,300,300,10030626
0.8,1700MHz,200,200,1877086
0.8,1700MHz,300,300,8760475
0.9,1700MHz,200,200,1677268
0.9,1700MHz,300,300,7784418
1.0,1700MHz,200,200,1525642
1.0,1700MHz,300,300,7009937
0.1,1800MHz,200,200,14306627
0.1,1800MHz,300,300,66794971
0.2,1800MHz,200,200,7149394
0.2,1800MHz,300,300,33204796
0.3,1800MHz,200,200,4778228
0.3,1800MHz,300,300,22169513
0.4,1800MHz,200,200,3572052
0.4,1800MHz,300,300,16531734
0.5,1800MHz,200,200,2836945
0.5,1800MHz,300,300,13226962
0.6,1800MHz,200,200,2352229
0.6,1800MHz,300,300,11000527
0.7,1800MHz,200,200,2028031
0.7,1800MHz,300,300,9423059
0.8,1800MHz,200,200,1792467
0.8,1800MHz,300,300,8293393
0.9,1800MHz,200,200,1587190
0.9,1800MHz,300,300,7360744
1.0,1800MHz,200,200,1440760
1.0,1800MHz,300,300,6651233
0.1,1900MHz,200,200,13705992
0.1,1900MHz,300,300,63296360
0.2,1900MHz,200,200,6761000
0.2,1900MHz,300,300,31497565
0.3,1900MHz,200,200,4476513
0.3,1900MHz,300,300,20971428
0.4,1900MHz,200,200,3288306
0.4,1900MHz,300,300,15681944
0.5,1900MHz,200,200,2674147
0.5,1900MHz,300,300,12528163
0.6,1900MHz,200,200,2241308
0.6,1900MHz,300,300,10431562
0.7,1900MHz,200,200,1931701
0.7,1900MHz,300,300,8955520
0.8,1900MHz,200,200,1680343
0.8,1900MHz,300,300,7813943
0.9,1900MHz,200,200,1511394
0.9,1900MHz,300,300,6964617
1.0,1900MHz,200,200,1364951
1.0,1900MHz,300,300,6310838
0.1,2000MHz,200,200,12999613
0.1,2000MHz,300,300,60088041
0.2,2000MHz,200,200,6443816
0.2,2000MHz,300,300,29901724
0.3,2000MHz,200,200,4259942
0.3,2000MHz,300,300,19900834
0.4,2000MHz,200,200,3184178
0.4,2000MHz,300,300,14910764
0.5,2000MHz,200,200,2543650
0.5,2000MHz,300,300,11910625
0.6,2000MHz,200,200,2090995
0.6,2000MHz,300,300,9908563
0.7,2000MHz,200,200,1800237
0.7,2000MHz,300,300,8484919
0.8,2000MHz,200,200,1592310
0.8,2000MHz,300,300,7447456
0.9,2000MHz,200,200,1418367
0.9,2000MHz,300,300,6611286
1.0,2000MHz,200,200,1295409
1.0,2000MHz,300,300,5992906
0.1,2100MHz,200,200,12396132
0.1,2100MHz,300,300,57105216
0.2,2100MHz,200,200,6163793
0.2,2100MHz,300,300,28412779
0.3,2100MHz,200,200,4032206
0.3,2100MHz,300,300,18986786
0.4,2100MHz,200,200,3053593
0.4,2100MHz,300,300,14144347
0.5,2100MHz,200,200,2381628
0.5,2100MHz,300,300,11304011
0.6,2100MHz,200,200,2029978
0.6,2100MHz,300,300,9435263
0.7,2100MHz,200,200,1740753
0.7,2100MHz,300,300,8094933
0.8,2100MHz,200,200,1529259
0.8,2100MHz,300,300,7079810
0.9,2100MHz,200,200,1350634
0.9,2100MHz,300,300,6297240
1.0,2100MHz,200,200,1232168
1.0,2100MHz,300,300,5712932
