0.8,1200MHz,200,200,1700468
0.8,1200MHz,300,300,8186150
0.9,1200MHz,200,200,1517593
0.9,1200MHz,300,300,7160627
1.0,1200MHz,200,200,1352993
1.0,1200MHz,300,300,6262974
1.1,1200MHz,200,200,1221160
1.1,1200MHz,300,300,5749251
1.2,1200MHz,200,200,1131575
1.2,1200MHz,300,300,5219567
1.3,1200MHz,200,200,981586
1.3,1200MHz,300,300,4773321
1.4,1200MHz,200,200,916440
1.4,1200MHz,300,300,4473036
1.5,1200MHz,200,200,887951
1.5,1200MHz,300,300,4144721
1.6,1200MHz,200,200,819896
1.6,1200MHz,300,300,3858687
1.7,1200MHz,200,200,777479
1.7,1200MHz,300,300,3645537
1.8,1200MHz,200,200,755779
1.8,1200MHz,300,300,3410980
1.9,1200MHz,200,200,691214
1.9,1200MHz,300,300,3192361
2.0,1200MHz,200,200,646055
2.0,1200MHz,300,300,3020873
0.8,1300MHz,200,200,1667898
0.8,1300MHz,300,300,8128130
0.9,1300MHz,200,200,1525580
0.9,1300MHz,300,300,7088162
1.0,1300MHz,200,200,1312407
1.0,1300MHz,300,300,6237225
1.1,1300MHz,200,200,1213450
1.1,1300MHz,300,300,5676554
1.2,1300MHz,200,200,1112864
1.2,1300MHz,300,300,5187794
1.3,1300MHz,200,200,1009706
1.3,1300MHz,300,300,4771795
1.4,1300MHz,200,200,907662
1.4,1300MHz,300,300,4365886
1.5,1300MHz,200,200,824608
1.5,1300MHz,300,300,4126299
1.6,1300MHz,200,200,819722
1.6,1300MHz,300,300,3839867
1.7,1300MHz,200,200,769473
1.7,1300MHz,300,300,3611544
1.8,1300MHz,200,200,729788
1.8,1300MHz,300,300,3456534
1.9,1300MHz,200,200,676491
1.9,1300MHz,300,300,3213243
2.0,1300MHz,200,200,655592
2.0,1300MHz,300,300,3042052
0.8,1400MHz,200,200,1647698
0.8,1400MHz,300,300,7959803
0.9,1400MHz,200,200,1522281
0.9,1400MHz,300,300,6972211
1.0,1400MHz,200,200,1333419
1.0,1400MHz,300,300,6247985
1.1,1400MHz,200,200,1211693
1.1,1400MHz,300,300,5674288
1.2,1400MHz,200,200,1109683
1.2,1400MHz,300,300,5155123
1.3,1400MHz,200,200,980159
1.3,1400MHz,300,300,4733632
1.4,1400MHz,200,200,931042
1.4,1400MHz,300,300,4423425
1.5,1400MHz,200,200,848969
1.5,1400MHz,300,300,4111733
1.6,1400MHz,200,200,795122
1.6,1400MHz,300,300,3821661
1.7,1400MHz,200,200,761665
1.7,1400MHz,300,300,3612670
1.8,1400MHz,200,200,716559
1.8,1400MHz,300,300,3411277
1.9,1400MHz,200,200,700047
1.9,1400MHz,300,300,3200252
2.0,1400MHz,200,200,650362
2.0,1400MHz,300,300,3044503
0.8,1500MHz,200,200,1641420
0.8,1500MHz,300,300,7881810
0.9,1500MHz,200,200,1488027
0.9,1500MHz,300,300,6898932
1.0,1500MHz,200,200,1328697
1.0,1500MHz,300,300,6165173
1.1,1500MHz,200,200,1190837
1.1,1500MHz,300,300,5568743
1.2,1500MHz,200,200,1045173
1.2,1500MHz,300,300,5112839
1.3,1500MHz,200,200,1006708
1.3,1500MHz,300,300,4686160
1.4,1500MHz,200,200,912296
1.4,1500MHz,300,300,4354279
1.5,1500MHz,200,200,849833
1.5,1500MHz,300,300,4047044
1.6,1500MHz,200,200,802568
1.6,1500MHz,300,300,3796633
1.7,1500MHz,200,200,746338
1.7,1500MHz,300,300,3590932
1.8,1500MHz,200,200,710519
1.8,1500MHz,300,300,3359784
1.9,1500MHz,200,200,681586
1.9,1500MHz,300,300,3167613
2.0,1500MHz,200,200,656601
2.0,1500MHz,300,300,3014408
0.8,1600MHz,200,200,1628497
0.8,1600MHz,300,300,7753651
